Price,Open,High,Low,Close,Volume
Ticker,7203.T,7203.T,7203.T,7203.T,7203.T
Date,,,,,
2020-08-11,1210.0848083069275,1241.335205078125,1207.4806085759944,1241.335205078125,47353500
2020-08-12,1239.772771187935,1260.9536190517472,1237.342248099898,1257.655029296875,34724500
2020-08-13,1267.5510867768842,1281.2665844709807,1264.7733154296875,1264.7733154296875,34598000
2020-08-14,1257.6550097606034,1259.5647140119079,1244.4603330505718,1246.71728515625,24891000
2020-08-17,1252.2726880907799,1264.5992957374058,1242.376708984375,1242.376708984375,16037000
2020-08-18,1251.7520162610726,1255.0507116719575,1237.1684552389574,1245.84912109375,21201000
2020-08-19,1234.390695069547,1249.3213980809487,1226.4045248011528,1249.1478271484375,16316500
2020-08-20,1243.7657735422329,1247.5851815235212,1228.6613946425318,1229.876708984375,14443500
2020-08-21,1242.0295978110569,1246.8907490463048,1229.3557420652128,1229.5294189453125,14287000
2020-08-24,1234.7379723607608,1235.4323620725336,1226.578125,1226.578125,13343500
2020-08-25,1239.5990588855625,1252.2728095830976,1237.3421070021916,1241.16162109375,20393000
2020-08-26,1235.9531933485503,1245.8490672229866,1231.612860608831,1236.6475830078125,13868500
2020-08-27,1229.1822333068671,1230.571118592149,1222.0641299915758,1227.9669189453125,12679500
2020-08-28,1239.946311533889,1247.0644150318885,1211.4736856115755,1225.0155029296875,28873000
2020-08-31,1233.869847208854,1237.51568442689,1216.3348388671875,1216.3348388671875,22006500
2020-09-01,1213.5571651632783,1215.2932984467739,1202.4458697628413,1211.6474609375,19728000
2020-09-02,1210.43212890625,1216.1613474657322,1207.6542521138106,1210.43212890625,14908500
2020-09-03,1222.0641143556888,1222.0641143556888,1210.9528202852894,1213.7305908203125,16797000
2020-09-04,1206.6124620869105,1229.3557625114088,1204.5290812471114,1223.279296875,20013500
2020-09-07,1216.85559296682,1222.2375625750565,1205.0498044652875,1209.39013671875,20615500
2020-09-08,1216.161205811069,1218.591834475696,1207.654111450027,1217.8973388671875,21390500
2020-09-09,1199.320857209792,1203.8348673491805,1187.1679241628613,1195.5013427734375,35819500
2020-09-10,1207.3071419462979,1207.480712890625,1199.6681130228928,1207.480712890625,21490000
2020-09-11,1190.1192724040534,1207.6541748046875,1189.9457014753968,1207.6541748046875,23824500
2020-09-14,1212.515506695397,1223.9739437830451,1211.6474400686006,1223.453125,16699500
2020-09-15,1229.182337914339,1242.2033372566518,1222.4113758702708,1226.751708984375,18899000
2020-09-16,1223.1059672749964,1226.9254819073565,1215.6406149275306,1226.4046630859375,15153000
2020-09-17,1219.2864568549114,1229.5296862272867,1216.1614379504288,1218.939208984375,16123000
2020-09-18,1228.3144622709847,1231.2659104405025,1220.6754324163721,1221.8907470703125,28528000
2020-09-23,1226.578186115428,1232.6546527133105,1213.3836153175218,1229.35595703125,28209500
2020-09-24,1218.4182900237192,1222.5850521973598,1202.7930908203125,1202.7930908203125,24755500
2020-09-25,1216.6820858611259,1226.578065972834,1213.5570673956279,1220.6751708984375,25681000
2020-09-28,1223.4531368255314,1246.3701171875,1214.7724704736618,1246.3701171875,37334000
2020-09-29,1249.8913440805277,1260.6313165016566,1244.433238987158,1252.356201171875,29231000
2020-09-30,1234.2215171110192,1246.3701028462935,1219.9602273018352,1220.4884033203125,27261500
2020-10-02,1218.375483051074,1232.988924722427,1208.163686910975,1213.26953125,24475000
2020-10-05,1228.5871970802293,1229.4675261276445,1212.3891211153816,1216.438720703125,20136000
2020-10-06,1216.438878730863,1229.643816157546,1212.565408926625,1225.0660400390625,23551000
2020-10-07,1219.7839553625154,1232.9888916015625,1215.5584402432478,1232.9888916015625,21226000
2020-10-08,1234.221520471246,1246.1939759249178,1229.819874535186,1238.4471435546875,24101500
2020-10-09,1237.0384540522978,1237.56673750146,1223.129318235488,1226.650634765625,16979500
2020-10-12,1220.4882179763383,1222.7770520168629,1214.8540905567104,1216.790771484375,13191000
2020-10-13,1228.4113302563303,1237.7427978515625,1222.9532249919848,1237.7427978515625,18338500
2020-10-14,1225.7701556482973,1227.1786605955974,1218.1993475272745,1221.016357421875,15327000
2020-10-15,1214.5019768242032,1220.664280381913,1213.9738008688087,1217.4951171875,14224000
2020-10-16,1221.8969025173224,1222.601208846536,1201.6493313660987,1202.3536376953125,18851000
2020-10-19,1210.2763487592588,1223.3051534451604,1209.5720425764378,1222.7769775390625,15235000
2020-10-20,1219.4318943924188,1222.777188143941,1212.9175446584877,1214.3260498046875,11712000
2020-10-21,1225.77029489054,1241.6162191372841,1224.7138354635263,1234.04541015625,23975000
2020-10-22,1226.6504955181192,1229.6436357213693,1222.0727200713718,1226.474365234375,16037500
2020-10-23,1234.0453430107361,1234.2213658413018,1222.6010650107812,1227.7069091796875,19816500
2020-10-26,1227.1786351456321,1232.9887850965256,1224.53764812595,1230.699951171875,13375000
2020-10-27,1227.1787515578828,1231.2282438797963,1219.0797669140557,1225.5941162109375,16171500
2020-10-28,1212.7413946719296,1219.6080049085522,1205.1705856046615,1213.973876953125,18801000
2020-10-29,1196.3672748311394,1219.0798091262197,1193.7262874694813,1213.6217041015625,20499500
2020-10-30,1205.6987187681405,1210.9806933896089,1197.7757568359375,1197.7757568359375,26039000
2020-11-02,1208.867896054157,1235.2777694674758,1206.0508858748897,1223.4814453125,28606000
2020-11-04,1236.6863526833022,1241.9683272406705,1228.235107421875,1228.235107421875,31390500
2020-11-05,1224.5377252135138,1238.0948142604072,1218.9035977244362,1229.6436767578125,28217000
2020-11-06,1244.7853440847032,1259.222762778661,1235.101724010494,1235.8060302734375,55464500
2020-11-09,1260.4553088944865,1275.0687511638444,1253.4126757562847,1262.920166015625,39193000
2020-11-10,1288.8019268530577,1295.844560333129,1269.7868379492768,1279.470458984375,44128500
2020-11-11,1301.1264340475796,1321.0218505859375,1297.4290947434959,1321.0218505859375,50376500
2020-11-12,1316.4441020263068,1321.7260764031982,1299.3656967152824,1309.04931640625,29082000
2020-11-13,1307.6409052541383,1312.0425508841427,1282.6395365833025,1288.0975341796875,28673000
2020-11-16,1302.8871016239402,1316.0920384647234,1296.0204914819126,1315.916015625,27563500
2020-11-17,1319.9654580533447,1320.1414808863944,1303.415228188877,1309.753662109375,23499500
2020-11-18,1303.0630431640634,1307.288665674293,1283.5197808438513,1288.625732421875,22772000
2020-11-19,1295.492316467646,1302.3589266147992,1271.7234301364954,1285.45654296875,32636500
2020-11-20,1283.1676577695102,1294.4359130859375,1277.0053541506618,1294.4359130859375,20376000
2020-11-24,1316.4441851398994,1323.310687786148,1305.3520597405359,1308.3450927734375,27571500
