Date,Open,High,Low,Close,Volume
2020-08-19,33218.75567815073,33273.62198916398,32980.67475821936,33040.44166235253,68054200
2020-08-20,33124.20706249261,33463.983297409744,33110.38053715092,33412.62289512134,42207800
2020-08-21,33246.80214629788,33423.896830366895,33210.396581136694,33400.28500649659,55106600
2020-08-24,33727.55851620253,33814.3129199299,33464.34091382676,33806.42752347514,48588700
2020-08-25,33903.65796756904,33970.76779547944,33779.30510091592,33961.885878124274,38463400
2020-08-26,34157.311641452994,34464.44364391971,34098.857388611,34435.713891139254,50790200
2020-08-27,34350.69825510956,34487.70127975912,34155.53955657203,34332.95436764369,58034100
2020-08-28,34696.471017075135,34823.56419541041,34568.38395269227,34809.66191130574,48588900
2020-08-31,34427.34102334088,34520.69151005121,34300.577605828825,34325.143996883184,66099200
2020-09-01,34566.508627951596,34813.26421368126,34470.76734020236,34802.40841374267,54908700
2020-09-02,34971.063151506816,35373.356727716,34848.79500820756,35269.82615556148,69540000
2020-09-03,35192.76843956934,35243.204429761914,33879.48008053346,34156.3800647459,148011100
2020-09-04,34190.229563790876,34358.15133710355,33077.98181483428,33838.57806852087,139156300
2020-09-08,33328.40542540354,33915.37409929481,32949.30368059729,32981.966585009126,114465300
2020-09-09,33305.62542645652,33790.0892058273,33212.87658822331,33526.64540811861,91462300
2020-09-10,33810.65248371788,33880.88030490942,32923.397239573984,33026.26824401784,90569500
2020-09-11,33189.654846614,33303.3106731508,32713.285434548197,33015.710128092906,84680200
2020-09-14,33355.32796444856,33640.958321525955,33032.14339854359,33451.19661175273,65605700
2020-09-15,33577.515288543385,33666.104521808404,33316.6680446192,33484.00559940748,52920900
2020-09-16,33509.69798417882,33661.78612606723,33216.310705623975,33245.74914868176,82096000
2020-09-17,32630.551759650538,33035.549251137265,32574.79071626273,32853.592947815545,91523300
2020-09-18,32824.81562588101,32836.56031877254,32100.53069037309,32362.83878812194,105877900
2020-09-21,31829.33648452778,31969.083848181297,31441.364424467116,31953.447341552004,99450800
2020-09-22,32156.809902511235,32384.843300598655,31891.58282924296,32326.121318126097,63612100
2020-09-23,32491.25484981524,32520.713814962997,31627.179143165158,31680.20288320072,93112200
2020-09-24,31621.851017546225,32171.161469565235,31482.06067795314,31846.30086950166,76681300
2020-09-25,31795.235652639025,32485.193674937516,31702.586914127518,32401.41546432674,71069400
2020-09-28,32887.269804937205,33058.99877704638,32781.665041009685,32983.00442992826,64584600
2020-09-29,32917.26780454617,32996.11743872071,32685.64286826748,32759.565528276376,51304000
2020-09-30,32902.46670528211,33416.12136435313,32881.72385219416,33080.27163242735,104081100
2020-10-01,33289.60412878005,33393.11230999736,33025.409469181664,33225.527492386755,88698700
2020-10-02,32727.640921300626,33251.55918176235,32677.320101700192,32938.78541823942,89431100
2020-10-05,33147.45887716313,33532.136875865915,33142.52830427784,33512.41157420701,45713100
2020-10-06,33589.801884731,33813.135353787606,33043.32910835448,33097.67873268388,90128900
2020-10-07,33391.73542463953,33738.373656995565,33388.77283350086,33652.45550014777,56999600
2020-10-08,33963.02479402071,34062.08567834155,33864.95246283625,34055.150690895505,45242500
2020-10-09,34248.59894475444,34426.00745614418,34182.19665238293,34376.452242597006,59528600
2020-10-12,34521.866843430944,34959.326778991795,34469.52968425095,34802.31530145183,80388500
2020-10-13,34691.01331494873,34709.72393504506,34376.87564731783,34479.291198596824,73255500
2020-10-14,34583.295113798675,34699.64018846343,34227.357298347284,34305.24765687343,57727900
2020-10-15,33782.82011842571,34206.44432445017,33725.81397217141,34155.3352623072,60357700
2020-10-16,34370.92734868697,34547.234819908816,34187.72748923717,34206.441841224674,89501900
2020-10-19,34362.22645896142,34429.245138797014,33612.201951353345,33707.80327702314,68425600
2020-10-20,33864.51009087145,34201.716991575566,33783.66191776948,33856.623565072194,60051900
2020-10-21,33853.94465343493,34084.68226084143,33762.24302000545,33794.784250690835,63575000
2020-10-22,33560.64989138372,33783.76116585081,33334.60306013381,33722.11148708733,55399300
2020-10-23,33930.51427345498,33936.39912894985,33655.877705980856,33915.802134717815,49143900
2020-10-26,33481.66662796552,33564.85027331517,32844.58138666341,33213.52458172012,91473000
2020-10-27,33297.059798126866,33332.33897587852,33123.59486852394,33146.136337048374,65994100
2020-10-28,32457.264686315262,33058.32453590525,31873.796133961212,31925.594719769433,127094300
2020-10-29,31879.73640293369,32512.62978524614,31702.252223503456,32179.118566693738,90597700
2020-10-30,32086.684600256416,32224.500924612283,31531.511777674288,31916.614787701517,120287300
2020-11-02,32282.376547276508,32493.548757470257,31992.98666121682,32282.376547276508,86068300
2020-11-03,32668.813885661697,33115.245335423,32335.948750344563,32897.903472692706,93294200
2020-11-04,33313.7244978402,34005.68527031922,33189.602964263555,33575.654786369996,126959700
2020-11-05,34097.4782715049,34385.497913993204,34060.37711299762,34195.11164461495,82039700
2020-11-06,33891.69334427173,34044.722395249104,33670.86911922498,33913.97054821998,74973000
2020-11-09,35132.424507209325,35172.000358676276,34175.85540987291,34224.11821228708,172304200
2020-11-10,34743.4225543305,34909.527594251704,34450.52961962311,34797.48212915263,85552000
2020-11-11,35070.41587471053,35184.56237174492,34938.55776683957,35096.98629395128,58649000
2020-11-12,35041.242404052566,35153.58711170936,34615.522846771986,34807.687151974525,67546200
2020-11-13,34902.745851657215,35259.36797506489,34847.73008035773,35180.77487267554,62892200
2020-11-16,35324.01282276454,35500.152193213115,35187.991730818,35479.60329680308,74541100
2020-11-17,35179.75258226302,35370.32664883278,35020.45272868976,35243.27627696189,66111000
2020-11-18,35150.153632867245,35207.61522082339,34695.32642445853,34699.2229817342,70591300
2020-11-19,34537.589325149034,34788.1700764648,34396.75713936915,34749.3207381852,59940900
2020-11-20,34699.06316561466,34720.41655373687,34480.67745338352,34488.44097540714,70417300
2020-11-23,34675.044088373936,34824.50631512631,34441.14635124254,34692.512891524464,63230600
2020-11-24,35197.81920198028,35549.59279783672,35107.92332760493,35491.941469657235,62415900
2020-11-25,35479.06844002339,35481.99942542663,35317.85827949732,35433.14768092334,45330900
2020-11-27,35456.26061430538,35489.393306932616,35333.472479201395,35439.69575496297,28514100
2020-11-30,35303.56481452536,35331.78281149727,34947.44733827138,35228.64444394782,83872700
2020-12-01,35644.32996194855,35850.06077295369,35581.926337875644,35688.20472052926,74231400
2020-12-02,35574.614133299736,35783.289941035924,35514.156684103764,35766.71443443908,45927000
2020-12-03,35807.06113522627,35954.51671794832,35691.83240520342,35808.03860958223,62882000
2020-12-04,35651.50367312431,35897.061385676265,35641.797237602885,35897.061385676265,50749900
2020-12-07,35945.87502289831,36004.32102867592,35819.24448761959,35952.69436765462,48944300
2020-12-08,35750.48955095512,36047.988763348505,35745.6296356275,35988.68474163394,42458900
2020-12-09,36105.21456919781,36121.76242662741,35625.2791694992,35712.893687175354,74098300
2020-12-10,35615.608521306836,35858.32828098752,35523.978777732904,35748.18041671533,57735400
2020-12-11,35539.08757506996,35718.29226699619,35379.362881665686,35675.43864803226,57698600
2020-12-14,35819.60372983468,35932.3147126996,35414.41649406489,35432.87844037684,69216200
2020-12-15,35723.508111491494,35936.44924181118,35579.60474960102,35936.44924181118,63865300
2020-12-16,35828.81326577288,35958.634469645745,35736.7744109467,35862.72247316129,58420500
2020-12-17,35978.91969701671,36029.2198606007,35892.82579650827,36007.938454457326,64119500
2020-12-18,35918.2433757133,35935.67071677399,35535.793314192604,35744.930271285586,136542300
2020-12-21,35449.00936349538,36759.272641387746,35163.451170423265,35729.70935026836,96386700
2020-12-22,35723.26843298388,35734.91020773582,35511.76829625179,35629.16013936978,47949000
